Model,Training Step,Seed,ICL
EleutherAI/pythia-14m,step0,5,-0.12304496765136719
EleutherAI/pythia-14m,step0,5,0.9724674224853516
EleutherAI/pythia-14m,step0,5,-2.1873855590820312
EleutherAI/pythia-14m,step0,5,-1.2829055786132812
EleutherAI/pythia-14m,step0,5,-0.623504638671875
EleutherAI/pythia-14m,step0,5,-0.08411312103271484
EleutherAI/pythia-14m,step0,5,0.6429042816162109
EleutherAI/pythia-14m,step0,5,-0.614558219909668
EleutherAI/pythia-14m,step0,7,-0.0001697540283203125
EleutherAI/pythia-14m,step0,7,0.2722644805908203
EleutherAI/pythia-14m,step0,7,-0.21968460083007812
EleutherAI/pythia-14m,step0,7,-0.27366161346435547
EleutherAI/pythia-14m,step0,7,1.3236112594604492
EleutherAI/pythia-14m,step0,7,-0.40789318084716797
EleutherAI/pythia-14m,step0,7,-1.1627893447875977
EleutherAI/pythia-14m,step0,7,0.21073341369628906
EleutherAI/pythia-14m,step0,7,0.5250558853149414
EleutherAI/pythia-14m,step0,7,0.66534423828125
EleutherAI/pythia-14m,step0,7,-1.8802900314331055
EleutherAI/pythia-14m,step0,7,-0.7612686157226562
EleutherAI/pythia-14m,step0,7,0.5477199554443359
EleutherAI/pythia-14m,step0,7,0.8519878387451172
EleutherAI/pythia-14m,step0,7,0.3465604782104492
EleutherAI/pythia-14m,step0,7,1.1650638580322266
EleutherAI/pythia-14m,step0,7,-0.2306194305419922
EleutherAI/pythia-14m,step0,7,0.6517839431762695
EleutherAI/pythia-14m,step0,7,-0.26926231384277344
EleutherAI/pythia-14m,step0,7,0.6656780242919922
EleutherAI/pythia-14m,step0,7,-0.4771556854248047
EleutherAI/pythia-14m,step0,7,-0.7994270324707031
EleutherAI/pythia-14m,step0,7,0.7192096710205078
EleutherAI/pythia-14m,step0,7,-0.053836822509765625
EleutherAI/pythia-14m,step0,7,-0.5710248947143555
EleutherAI/pythia-14m,step0,7,0.9599800109863281
EleutherAI/pythia-14m,step0,7,1.154306411743164
EleutherAI/pythia-14m,step0,7,-0.6886634826660156
EleutherAI/pythia-14m,step0,7,-0.5274477005004883
EleutherAI/pythia-14m,step0,7,-1.6002616882324219
EleutherAI/pythia-14m,step0,7,0.0199127197265625
EleutherAI/pythia-14m,step0,7,-0.1916675567626953
EleutherAI/pythia-14m,step0,7,-1.0590248107910156
EleutherAI/pythia-14m,step0,7,1.9996881484985352
EleutherAI/pythia-14m,step0,7,0.14386940002441406
EleutherAI/pythia-14m,step0,7,-0.5377912521362305
EleutherAI/pythia-14m,step0,7,-0.7849674224853516
EleutherAI/pythia-14m,step0,7,-0.181427001953125
EleutherAI/pythia-14m,step0,7,-0.5817289352416992
EleutherAI/pythia-14m,step0,7,-0.22626876831054688
EleutherAI/pythia-14m,step0,9,1.6161489486694336
EleutherAI/pythia-14m,step0,9,2.0491981506347656
EleutherAI/pythia-14m,step0,9,-0.01886463165283203
EleutherAI/pythia-14m,step0,9,-0.1591806411743164
EleutherAI/pythia-14m,step0,9,-0.13694381713867188
EleutherAI/pythia-14m,step0,9,0.01832294464111328
EleutherAI/pythia-14m,step0,9,0.7694368362426758
EleutherAI/pythia-14m,step0,9,1.6649847030639648
EleutherAI/pythia-14m,step0,9,-0.6271514892578125
EleutherAI/pythia-14m,step0,9,-0.34459877014160156
EleutherAI/pythia-14m,step0,9,-1.5087556838989258
EleutherAI/pythia-14m,step0,9,0.9272794723510742
